date,usd_inr,global_mfg_pmi
2020-01-01,71.34,58.43
2020-01-02,71.34,58.43
2020-01-03,71.76,58.43
2020-01-04,71.76,58.43
2020-01-05,71.76,58.43
2020-01-06,71.86,58.43
2020-01-07,71.84,58.43
2020-01-08,71.51,58.43
2020-01-09,71.16,58.43
2020-01-10,70.94,58.43
2020-01-11,70.94,58.43
2020-01-12,70.94,58.43
2020-01-13,70.74,58.43
2020-01-14,70.85,58.43
2020-01-15,70.69,58.43
2020-01-16,70.95,58.43
2020-01-17,71.08,58.43
2020-01-18,71.08,58.43
2020-01-19,71.08,58.43
2020-01-20,71.08,58.43
2020-01-21,71.17,58.43
2020-01-22,71.07,58.43
2020-01-23,71.45,58.43
2020-01-24,71.31,58.43
2020-01-25,71.31,58.43
2020-01-26,71.31,58.43
2020-01-27,71.45,58.43
2020-01-28,71.24,58.43
2020-01-29,71.35,58.43
2020-01-30,71.57,58.43
2020-01-31,71.53,58.43
2020-02-01,71.53,58.5
2020-02-02,71.53,58.5
2020-02-03,71.32,58.5
2020-02-04,71.11,58.5
2020-02-05,71.19,58.5
2020-02-06,71.19,58.5
2020-02-07,71.47,58.5
2020-02-08,71.47,58.5
2020-02-09,71.47,58.5
2020-02-10,71.28,58.5
2020-02-11,71.25,58.5
2020-02-12,71.29,58.5
2020-02-13,71.27,58.5
2020-02-14,71.52,58.5
2020-02-15,71.52,58.5
2020-02-16,71.52,58.5
2020-02-17,71.52,58.5
2020-02-18,71.56,58.5
2020-02-19,71.55,58.5
2020-02-20,71.67,58.5
2020-02-21,71.9,58.5
2020-02-22,71.9,58.5
2020-02-23,71.9,58.5
2020-02-24,71.92,58.5
2020-02-25,71.81,58.5
2020-02-26,71.58,58.5
2020-02-27,71.65,58.5
2020-02-28,72.53,58.5
2020-02-29,72.53,58.5
2020-03-01,72.53,57.12
2020-03-02,72.88,57.12
2020-03-03,73.03,57.12
2020-03-04,73.49,57.12
2020-03-05,73.5,57.12
2020-03-06,74.0,57.12
2020-03-07,74.0,57.12
2020-03-08,74.0,57.12
2020-03-09,74.21,57.12
2020-03-10,74.15,57.12
2020-03-11,73.68,57.12
2020-03-12,74.25,57.12
2020-03-13,73.86,57.12
2020-03-14,73.86,57.12
2020-03-15,73.86,57.12
2020-03-16,74.01,57.12
2020-03-17,74.26,57.12
2020-03-18,74.55,57.12
2020-03-19,74.78,57.12
2020-03-20,75.31,57.12
2020-03-21,75.31,57.12
2020-03-22,75.31,57.12
2020-03-23,76.29,57.12
2020-03-24,76.37,57.12
2020-03-25,76.36,57.12
2020-03-26,74.89,57.12
2020-03-27,75.47,57.12
2020-03-28,75.47,57.12
2020-03-29,75.47,57.12
2020-03-30,75.33,57.12
2020-03-31,75.39,57.12
2020-04-01,76.4,45.0
2020-04-02,76.34,45.0
2020-04-03,76.24,45.0
2020-04-04,76.24,45.0
2020-04-05,76.24,45.0
2020-04-06,75.95,45.0
2020-04-07,75.64,45.0
2020-04-08,75.96,45.0
2020-04-09,76.3,45.0
2020-04-10,75.87,45.0
2020-04-11,75.87,45.0
2020-04-12,75.87,45.0
2020-04-13,76.25,45.0
2020-04-14,76.11,45.0
2020-04-15,76.56,45.0
2020-04-16,76.75,45.0
2020-04-17,76.56,45.0
2020-04-18,76.56,45.0
2020-04-19,76.56,45.0
2020-04-20,76.56,45.0
2020-04-21,76.95,45.0
2020-04-22,76.44,45.0
2020-04-23,75.84,45.0
2020-04-24,76.26,45.0
