date,bay_of_bengal_wave_height_m,swell_height_m,windspeed_10m_max_kmh,precipitation_sum_mm,monsoon_active_flag,cyclone_disruption_index,unit_wave
2020-01-01,0.86,0.72,15.9,0.0,0,0.0,meters
2020-01-02,0.86,0.72,17.7,0.7,0,0.0,meters
2020-01-03,0.86,0.72,18.4,15.0,1,0.0,meters
2020-01-04,0.86,0.72,12.8,16.8,1,0.0,meters
2020-01-05,0.86,0.72,14.1,0.6,0,0.0,meters
2020-01-06,0.86,0.72,15.3,0.0,0,0.0,meters
2020-01-07,0.86,0.72,9.9,0.0,0,0.0,meters
2020-01-08,0.86,0.72,10.8,0.0,0,0.0,meters
2020-01-09,0.86,0.72,12.2,0.0,0,0.0,meters
2020-01-10,0.86,0.72,16.9,1.0,0,0.0,meters
2020-01-11,0.86,0.72,16.0,0.0,0,0.0,meters
2020-01-12,0.86,0.72,13.7,0.0,0,0.0,meters
2020-01-13,0.86,0.72,10.8,0.0,0,0.0,meters
2020-01-14,0.86,0.72,9.9,0.0,0,0.0,meters
2020-01-15,0.86,0.72,10.0,0.0,0,0.0,meters
2020-01-16,0.86,0.72,8.9,0.0,0,0.0,meters
2020-01-17,0.86,0.72,11.1,0.0,0,0.0,meters
2020-01-18,0.86,0.72,11.0,0.0,0,0.0,meters
2020-01-19,0.86,0.72,9.9,0.0,0,0.0,meters
2020-01-20,0.86,0.72,15.8,0.0,0,0.0,meters
2020-01-21,0.86,0.72,14.0,0.4,0,0.0,meters
2020-01-22,0.86,0.72,11.2,0.0,0,0.0,meters
2020-01-23,0.86,0.72,14.4,0.0,0,0.0,meters
2020-01-24,0.86,0.72,18.5,0.1,0,0.0,meters
2020-01-25,0.86,0.72,13.0,0.0,0,0.0,meters
2020-01-26,0.86,0.72,10.8,0.7,0,0.0,meters
2020-01-27,0.86,0.72,14.0,0.0,0,0.0,meters
2020-01-28,0.86,0.72,16.7,0.0,0,0.0,meters
2020-01-29,0.86,0.72,17.8,4.9,0,0.0,meters
2020-01-30,0.86,0.72,17.7,6.6,0,0.0,meters
2020-01-31,0.86,0.72,17.4,0.0,0,0.0,meters
2020-02-01,0.86,0.72,14.4,0.7,0,0.0,meters
2020-02-02,0.86,0.72,16.1,0.3,0,0.0,meters
2020-02-03,0.86,0.72,16.4,0.0,0,0.0,meters
2020-02-04,0.86,0.72,12.0,0.0,0,0.0,meters
2020-02-05,0.86,0.72,12.7,11.7,1,0.0,meters
2020-02-06,0.86,0.72,13.0,0.0,0,0.0,meters
2020-02-07,0.86,0.72,18.3,22.0,1,0.0,meters
2020-02-08,0.86,0.72,18.3,2.8,0,0.0,meters
2020-02-09,0.86,0.72,14.0,0.0,0,0.0,meters
2020-02-10,0.86,0.72,14.3,0.0,0,0.0,meters
2020-02-11,0.86,0.72,11.6,0.0,0,0.0,meters
2020-02-12,0.86,0.72,12.5,0.0,0,0.0,meters
2020-02-13,0.86,0.72,10.5,0.0,0,0.0,meters
2020-02-14,0.86,0.72,12.7,0.0,0,0.0,meters
2020-02-15,0.86,0.72,13.7,0.0,0,0.0,meters
2020-02-16,0.86,0.72,10.2,0.1,0,0.0,meters
2020-02-17,0.86,0.72,13.3,0.0,0,0.0,meters
2020-02-18,0.86,0.72,10.9,0.0,0,0.0,meters
2020-02-19,0.86,0.72,16.2,0.0,0,0.0,meters
2020-02-20,0.86,0.72,14.3,0.0,0,0.0,meters
2020-02-21,0.86,0.72,10.5,0.0,0,0.0,meters
2020-02-22,0.86,0.72,11.5,0.0,0,0.0,meters
2020-02-23,0.86,0.72,12.3,0.0,0,0.0,meters
2020-02-24,0.86,0.72,11.5,0.0,0,0.0,meters
